dataset,threshold,macro_f1,pathogenic_f1,benign_f1,pathogenic_precision,pathogenic_recall,benign_precision,benign_recall,balanced_accuracy,tn,fp,fn,tp,pr_auc,roc_auc
CFTR,0.05,0.44776119402985076,0.8955223880597015,0.0,0.8108108108108109,1.0,0.0,0.0,0.5,0,21,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.06,0.44776119402985076,0.8955223880597015,0.0,0.8108108108108109,1.0,0.0,0.0,0.5,0,21,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.07,0.44776119402985076,0.8955223880597015,0.0,0.8108108108108109,1.0,0.0,0.0,0.5,0,21,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.08,0.44776119402985076,0.8955223880597015,0.0,0.8108108108108109,1.0,0.0,0.0,0.5,0,21,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.09,0.44776119402985076,0.8955223880597015,0.0,0.8108108108108109,1.0,0.0,0.0,0.5,0,21,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.09999999999999999,0.44776119402985076,0.8955223880597015,0.0,0.8108108108108109,1.0,0.0,0.0,0.5,0,21,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.10999999999999999,0.44776119402985076,0.8955223880597015,0.0,0.8108108108108109,1.0,0.0,0.0,0.5,0,21,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.12,0.44776119402985076,0.8955223880597015,0.0,0.8108108108108109,1.0,0.0,0.0,0.5,0,21,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.13,0.4954545454545455,0.9,0.09090909090909091,0.8181818181818182,1.0,1.0,0.047619047619047616,0.5238095238095238,1,20,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.13999999999999999,0.4954545454545455,0.9,0.09090909090909091,0.8181818181818182,1.0,1.0,0.047619047619047616,0.5238095238095238,1,20,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.14999999999999997,0.4954545454545455,0.9,0.09090909090909091,0.8181818181818182,1.0,1.0,0.047619047619047616,0.5238095238095238,1,20,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.15999999999999998,0.5392178282717938,0.9045226130653267,0.17391304347826086,0.8256880733944955,1.0,1.0,0.09523809523809523,0.5476190476190477,2,19,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.16999999999999998,0.6168527918781725,0.9137055837563451,0.32,0.8411214953271028,1.0,1.0,0.19047619047619047,0.5952380952380952,4,17,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.18,0.6168527918781725,0.9137055837563451,0.32,0.8411214953271028,1.0,1.0,0.19047619047619047,0.5952380952380952,4,17,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.19,0.6168527918781725,0.9137055837563451,0.32,0.8411214953271028,1.0,1.0,0.19047619047619047,0.5952380952380952,4,17,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.19999999999999996,0.6168527918781725,0.9137055837563451,0.32,0.8411214953271028,1.0,1.0,0.19047619047619047,0.5952380952380952,4,17,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.20999999999999996,0.6168527918781725,0.9137055837563451,0.32,0.8411214953271028,1.0,1.0,0.19047619047619047,0.5952380952380952,4,17,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.21999999999999997,0.6168527918781725,0.9137055837563451,0.32,0.8411214953271028,1.0,1.0,0.19047619047619047,0.5952380952380952,4,17,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.22999999999999998,0.6514913657770801,0.9183673469387755,0.38461538461538464,0.8490566037735849,1.0,1.0,0.23809523809523808,0.6190476190476191,5,16,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.24,0.6514913657770801,0.9183673469387755,0.38461538461538464,0.8490566037735849,1.0,1.0,0.23809523809523808,0.6190476190476191,5,16,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.24999999999999994,0.6514913657770801,0.9183673469387755,0.38461538461538464,0.8490566037735849,1.0,1.0,0.23809523809523808,0.6190476190476191,5,16,0,90,0.9758756758661518,0.9126984126984128
CFTR,0.25999999999999995,0.6730486008836524,0.9175257731958762,0.42857142857142855,0.8557692307692307,0.9888888888888889,0.8571428571428571,0.2857142857142857,0.6373015873015873,6,15,1,89,0.9758756758661518,0.9126984126984128
CFTR,0.26999999999999996,0.6730486008836524,0.9175257731958762,0.42857142857142855,0.8557692307692307,0.9888888888888889,0.8571428571428571,0.2857142857142857,0.6373015873015873,6,15,1,89,0.9758756758661518,0.9126984126984128
CFTR,0.27999999999999997,0.7025192067178846,0.9222797927461139,0.4827586206896552,0.8640776699029126,0.9888888888888889,0.875,0.3333333333333333,0.6611111111111111,7,14,1,89,0.9758756758661518,0.9126984126984128
CFTR,0.29,0.7025192067178846,0.9222797927461139,0.4827586206896552,0.8640776699029126,0.9888888888888889,0.875,0.3333333333333333,0.6611111111111111,7,14,1,89,0.9758756758661518,0.9126984126984128
CFTR,0.3,0.7302083333333333,0.9270833333333334,0.5333333333333333,0.8725490196078431,0.9888888888888889,0.8888888888888888,0.38095238095238093,0.6849206349206349,8,13,1,89,0.9758756758661518,0.9126984126984128
CFTR,0.30999999999999994,0.780921052631579,0.9368421052631579,0.625,0.89,0.9888888888888889,0.9090909090909091,0.47619047619047616,0.7325396825396826,10,11,1,89,0.9758756758661518,0.9126984126984128
CFTR,0.31999999999999995,0.7686387686387686,0.9312169312169312,0.6060606060606061,0.8888888888888888,0.9777777777777777,0.8333333333333334,0.47619047619047616,0.726984126984127,10,11,2,88,0.9758756758661518,0.9126984126984128
CFTR,0.32999999999999996,0.7686387686387686,0.9312169312169312,0.6060606060606061,0.8888888888888888,0.9777777777777777,0.8333333333333334,0.47619047619047616,0.726984126984127,10,11,2,88,0.9758756758661518,0.9126984126984128
CFTR,0.33999999999999997,0.7916145181476846,0.9361702127659575,0.6470588235294118,0.8979591836734694,0.9777777777777777,0.8461538461538461,0.5238095238095238,0.7507936507936508,11,10,2,88,0.9758756758661518,0.9126984126984128
CFTR,0.3499999999999999,0.7916145181476846,0.9361702127659575,0.6470588235294118,0.8979591836734694,0.9777777777777777,0.8461538461538461,0.5238095238095238,0.7507936507936508,11,10,2,88,0.9758756758661518,0.9126984126984128
CFTR,0.35999999999999993,0.8134453781512605,0.9411764705882353,0.6857142857142857,0.9072164948453608,0.9777777777777777,0.8571428571428571,0.5714285714285714,0.7746031746031745,12,9,2,88,0.9758756758661518,0.9126984126984128
CFTR,0.36999999999999994,0.8342293906810037,0.946236559139785,0.7222222222222222,0.9166666666666666,0.9777777777777777,0.8666666666666667,0.6190476190476191,0.7984126984126985,13,8,2,88,0.9758756758661518,0.9126984126984128
CFTR,0.37999999999999995,0.8342293906810037,0.946236559139785,0.7222222222222222,0.9166666666666666,0.9777777777777777,0.8666666666666667,0.6190476190476191,0.7984126984126985,13,8,2,88,0.9758756758661518,0.9126984126984128
CFTR,0.38999999999999996,0.8540540540540541,0.9513513513513514,0.7567567567567568,0.9263157894736842,0.9777777777777777,0.875,0.6666666666666666,0.8222222222222222,14,7,2,88,0.9758756758661518,0.9126984126984128
CFTR,0.3999999999999999,0.8600252206809584,0.9508196721311475,0.7692307692307693,0.9354838709677419,0.9666666666666667,0.8333333333333334,0.7142857142857143,0.8404761904761905,15,6,3,87,0.9758756758661518,0.9126984126984128
CFTR,0.4099999999999999,0.8600252206809584,0.9508196721311475,0.7692307692307693,0.9354838709677419,0.9666666666666667,0.8333333333333334,0.7142857142857143,0.8404761904761905,15,6,3,87,0.9758756758661518,0.9126984126984128
CFTR,0.41999999999999993,0.8600252206809584,0.9508196721311475,0.7692307692307693,0.9354838709677419,0.9666666666666667,0.8333333333333334,0.7142857142857143,0.8404761904761905,15,6,3,87,0.9758756758661518,0.9126984126984128
CFTR,0.42999999999999994,0.878021978021978,0.9560439560439561,0.8,0.9456521739130435,0.9666666666666667,0.8421052631578947,0.7619047619047619,0.8642857142857143,16,5,3,87,0.9758756758661518,0.9126984126984128
CFTR,0.43999999999999995,0.878021978021978,0.9560439560439561,0.8,0.9456521739130435,0.9666666666666667,0.8421052631578947,0.7619047619047619,0.8642857142857143,16,5,3,87,0.9758756758661518,0.9126984126984128
CFTR,0.4499999999999999,0.878021978021978,0.9560439560439561,0.8,0.9456521739130435,0.9666666666666667,0.8421052631578947,0.7619047619047619,0.8642857142857143,16,5,3,87,0.9758756758661518,0.9126984126984128
CFTR,0.4599999999999999,0.878021978021978,0.9560439560439561,0.8,0.9456521739130435,0.9666666666666667,0.8421052631578947,0.7619047619047619,0.8642857142857143,16,5,3,87,0.9758756758661518,0.9126984126984128
CFTR,0.4699999999999999,0.878021978021978,0.9560439560439561,0.8,0.9456521739130435,0.9666666666666667,0.8421052631578947,0.7619047619047619,0.8642857142857143,16,5,3,87,0.9758756758661518,0.9126984126984128
CFTR,0.4799999999999999,0.878021978021978,0.9560439560439561,0.8,0.9456521739130435,0.9666666666666667,0.8421052631578947,0.7619047619047619,0.8642857142857143,16,5,3,87,0.9758756758661518,0.9126984126984128
CFTR,0.48999999999999994,0.8653820239859857,0.9502762430939227,0.7804878048780488,0.945054945054945,0.9555555555555556,0.8,0.7619047619047619,0.8587301587301588,16,5,4,86,0.9758756758661518,0.9126984126984128
CFTR,0.49999999999999994,0.8653820239859857,0.9502762430939227,0.7804878048780488,0.945054945054945,0.9555555555555556,0.8,0.7619047619047619,0.8587301587301588,16,5,4,86,0.9758756758661518,0.9126984126984128
CFTR,0.5099999999999999,0.8653820239859857,0.9502762430939227,0.7804878048780488,0.945054945054945,0.9555555555555556,0.8,0.7619047619047619,0.8587301587301588,16,5,4,86,0.9758756758661518,0.9126984126984128
CFTR,0.5199999999999999,0.8653820239859857,0.9502762430939227,0.7804878048780488,0.945054945054945,0.9555555555555556,0.8,0.7619047619047619,0.8587301587301588,16,5,4,86,0.9758756758661518,0.9126984126984128
CFTR,0.5299999999999999,0.8653820239859857,0.9502762430939227,0.7804878048780488,0.945054945054945,0.9555555555555556,0.8,0.7619047619047619,0.8587301587301588,16,5,4,86,0.9758756758661518,0.9126984126984128
CFTR,0.5399999999999999,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.5499999999999999,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.5599999999999999,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.57,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.58,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.59,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.6,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.61,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.62,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.63,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.6399999999999999,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.6499999999999999,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.6599999999999999,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.6699999999999999,0.8531746031746031,0.9444444444444444,0.7619047619047619,0.9444444444444444,0.9444444444444444,0.7619047619047619,0.7619047619047619,0.8531746031746031,16,5,5,85,0.9758756758661518,0.9126984126984128
CFTR,0.6799999999999999,0.8413667662725737,0.9385474860335196,0.7441860465116279,0.9438202247191011,0.9333333333333333,0.7272727272727273,0.7619047619047619,0.8476190476190476,16,5,6,84,0.9758756758661518,0.9126984126984128
