left_variant_id,right_variant_id,left_label,right_label,same_label,cosine_similarity
VAR_001809,VAR_001798,1,1,True,0.9951283058397185
VAR_001846,VAR_001809,0,1,False,0.9896873238649434
VAR_001815,VAR_001798,1,1,True,0.9880174557207386
VAR_001942,VAR_001809,1,1,True,0.9807950819100855
VAR_001782,VAR_001783,1,1,True,0.9800559405206279
VAR_001856,VAR_001783,1,1,True,0.9697510347297617
VAR_001918,VAR_001798,1,1,True,0.9666003165910685
VAR_001926,VAR_001782,1,1,True,0.9647070740636439
VAR_001840,VAR_001846,1,0,False,0.9626384309166617
VAR_001892,VAR_001809,1,1,True,0.9560736415782786
VAR_001948,VAR_001809,1,1,True,0.9530815269254937
VAR_001968,VAR_001809,1,1,True,0.9517838408990735
VAR_001873,VAR_001815,1,1,True,0.9469783403559946
VAR_001884,VAR_001785,1,0,False,0.9282286578221193
VAR_001923,VAR_001783,1,1,True,0.9156417825638925
VAR_001982,VAR_001955,1,1,True,0.9009516744898413
VAR_001936,VAR_001838,1,1,True,0.8997307760680939
VAR_001823,VAR_001884,0,1,False,0.8901999390934534
VAR_001958,VAR_001955,1,1,True,0.8802696840763757
VAR_001874,VAR_001856,1,1,True,0.8589465978510379
VAR_001842,VAR_001782,1,1,True,0.8488950501905355
VAR_001978,VAR_001782,1,1,True,0.8487919731801201
VAR_001771,VAR_001949,1,1,True,0.8184794043916523
VAR_001857,VAR_001804,1,0,False,0.8160968460862368
VAR_001879,VAR_001823,1,0,False,0.8069862701087804
VAR_001834,VAR_001980,1,1,True,0.8066448487987149
VAR_001924,VAR_001936,1,1,True,0.8065432612374773
VAR_001976,VAR_001936,1,1,True,0.8043094125085777
VAR_001875,VAR_001785,1,0,False,0.7985097892301726
VAR_001896,VAR_001858,1,1,True,0.7963691769405428
VAR_001797,VAR_001923,1,1,True,0.7869764060499491
VAR_001822,VAR_001804,1,0,False,0.7742171515831167
VAR_001887,VAR_001782,1,1,True,0.7666698513520276
VAR_001961,VAR_001956,0,0,True,0.7436293680111591
VAR_001817,VAR_001858,1,1,True,0.729630349928525
VAR_001916,VAR_001834,1,1,True,0.7229173875090932
VAR_001859,VAR_001924,1,1,True,0.7191344447595082
VAR_001871,VAR_001858,0,1,False,0.7179531270781379
VAR_001979,VAR_001848,1,0,False,0.7078557955050394
VAR_001795,VAR_001824,1,1,True,0.6887525620720902
VAR_001869,VAR_001838,1,1,True,0.6858376385377646
VAR_001881,VAR_001893,1,1,True,0.6844202288766117
VAR_001812,VAR_001875,1,1,True,0.6804129141810162
VAR_001821,VAR_001955,1,1,True,0.6684354548379107
VAR_001825,VAR_001980,1,1,True,0.6595808232831912
VAR_001820,VAR_001785,1,0,False,0.656067934299837
VAR_001882,VAR_001817,1,1,True,0.6510433725827176
VAR_001977,VAR_001961,0,0,True,0.6283512433199282
VAR_001886,VAR_001823,1,0,False,0.6276182197177539
VAR_001951,VAR_001795,1,1,True,0.6272565903233454
VAR_001806,VAR_001881,0,1,False,0.6229997556068795
VAR_001788,VAR_001886,1,1,True,0.6081227150476967
VAR_001953,VAR_001930,1,0,False,0.6049966916481816
VAR_001885,VAR_001822,0,1,False,0.5878399132629829
VAR_001816,VAR_001834,1,1,True,0.580643016965738
VAR_001876,VAR_001912,1,0,False,0.5755454152044682
VAR_001889,VAR_001799,1,1,True,0.5708384518137846
VAR_001784,VAR_001886,1,1,True,0.5672812857523096
VAR_001772,VAR_001885,0,0,True,0.5668563774715997
VAR_001888,VAR_001799,1,1,True,0.5636453937625419
VAR_001934,VAR_001812,0,1,False,0.560176789609017
VAR_001868,VAR_001882,1,1,True,0.5594578066641325
VAR_001841,VAR_001816,1,1,True,0.5574134351237275
VAR_001883,VAR_001824,1,1,True,0.5515791312312042
VAR_001833,VAR_001901,0,0,True,0.5422839803697856
VAR_001939,VAR_001788,1,1,True,0.5284293467331799
VAR_001839,VAR_001858,1,1,True,0.524656653317839
VAR_001964,VAR_001820,0,1,False,0.519686266816114
VAR_001844,VAR_001843,1,1,True,0.5173628986671334
VAR_001862,VAR_001938,1,1,True,0.5060773012178165
VAR_001965,VAR_001793,1,1,True,0.5015746368909904
VAR_001847,VAR_001968,1,1,True,0.4845046424557333
VAR_001897,VAR_001977,1,0,False,0.47828485243028984
VAR_001781,VAR_001822,1,1,True,0.4740207233006065
VAR_001880,VAR_001819,1,1,True,0.4731380938850953
VAR_001775,VAR_001841,1,1,True,0.46046608688127444
VAR_001959,VAR_001862,1,1,True,0.45817400782781126
VAR_001972,VAR_001938,1,1,True,0.45407092366621526
VAR_001872,VAR_001951,1,1,True,0.43406391642269937
VAR_001970,VAR_001775,1,1,True,0.4328512604009912
VAR_001913,VAR_001883,0,1,False,0.4313161573687372
VAR_001803,VAR_001776,1,1,True,0.41404979953312426
VAR_001790,VAR_001951,1,1,True,0.37400912178612455
VAR_001796,VAR_001850,1,0,False,0.3687134189063319
VAR_001945,VAR_001970,1,1,True,0.3621824222994202
VAR_001780,VAR_001978,1,1,True,0.3440478344733886
VAR_001971,VAR_001776,0,1,False,0.33430496108164864
VAR_001791,VAR_001893,1,1,True,0.29748628505823593
