feature,mean_importance,models_used
GLOBAL_FOUNDATION_PROBA,0.09808161425148064,4
EK_9,0.03250283385287346,4
EK_7,0.02995579456048988,4
EK_5,0.022747215655653137,4
EK_2,0.021743253646926648,4
EK_4,0.020842026963828378,4
AL_8,0.0166424995049465,4
EK_3,0.016573538530655452,4
EK_8,0.015331359202432856,4
EK_1,0.014156170718483532,4
missingindicator_AL_25,0.011517519376818313,4
AL_9,0.01146844406962654,4
EK_6,0.011126698746099993,4
AL_52,0.010852613326308321,4
missingindicator_AL_17,0.010766910757760605,4
AL_14,0.010240019927216942,4
missingindicator_AL_20,0.010141543096427785,4
missingindicator_AL_7,0.009896374957089872,4
missingindicator_AL_24,0.009234453368301407,4
missingindicator_AL_21,0.008439416607090851,4
missingindicator_AL_9,0.008073181313493851,4
AL_168,0.008023998887506326,4
missingindicator_AL_8,0.00800181412995583,4
missingindicator_AL_22,0.0076830560042021765,4
missingindicator_AL_10,0.007080062743889087,4
missingindicator_AL_18,0.006815428322853687,4
AL_13,0.0068049153339961015,4
AL_10,0.0067079256404048195,4
missingindicator_AL_19,0.006388172554171401,4
AL_186,0.006271089084862085,4
AL_315,0.0062288605320713385,4
missingindicator_AL_14,0.0061755065138737655,4
missingindicator_AL_11,0.006047951919192694,4
AL_15,0.005900189531495635,4
AL_12,0.005860879959929959,4
AL_24,0.005756352620928736,4
missingindicator_AL_23,0.005565587680686717,4
CAT_1___MISSING__,0.005551654103034439,4
missingindicator_AL_13,0.005177748003988098,4
missingindicator_AL_26,0.0050097517346924456,4
AL_319,0.004883637291300224,4
AA_1_L,0.004818043121630073,4
AL_26,0.004802378430359166,4
missingindicator_AL_12,0.004787621356023151,4
AL_302,0.0047754772419073156,4
AA_2_L,0.004737207150911766,4
missingindicator_AL_217,0.00462725085121779,4
AL_40,0.004626775631049909,4
AL_49,0.0044729074843195115,4
AL_58,0.004293562884076776,4
missingindicator_AL_16,0.004287720449304103,4
AL_11,0.004211101064446113,4
missingindicator_AL_214,0.004210630504626521,4
missingindicator_AL_15,0.00401377891532439,4
missingindicator_AL_186,0.004009931776917784,4
missingindicator_AL_185,0.003937665908065978,4
AL_154,0.0038493469050243753,4
missingindicator_AL_216,0.0036595441837492387,4
AL_184,0.0036572806084350633,4
AL_323,0.0036278981805193573,4
missingindicator_AL_183,0.0035115020355601244,4
AL_43,0.0034703733983634617,4
AL_21,0.0033814034784584762,4
AL_296,0.0032366366056854065,4
missingindicator_EK_3,0.0032242016969524275,4
AL_311,0.0032229234862632154,4
AL_298,0.0032115931305842023,4
missingindicator_AL_184,0.0032013398989139867,4
missingindicator_AL_215,0.003131542566067083,4
missingindicator_EK_6,0.003014511458984865,4
AL_7,0.003006459534002488,4
AL_139,0.0028658187735325484,4
AL_79,0.002830827529243537,4
missingindicator_EK_1,0.002823985155739146,4
AL_61,0.002777384511774026,4
AA_1_R,0.002701825406646003,4
missingindicator_EK_9,0.002332565941952304,4
AL_16,0.002320736927148132,4
AL_22,0.002211389720367705,4
AL_224,0.0022074271052204774,4
