feature,mean_importance,models_used
EK_7,0.03189385606129615,4
EK_9,0.021360786459646272,4
EK_2,0.019536389135838047,4
EK_1,0.01823229124558237,4
EK_4,0.017454861393877426,4
EK_8,0.016876668010821036,4
EK_6,0.015308007377084643,4
EK_5,0.014563177746177639,4
EK_3,0.013096573576752826,4
CAT_1___MISSING__,0.011357813311163813,4
AL_14,0.011198258224606494,4
AL_26,0.011111256902862486,4
AL_12,0.010718265067811877,4
AL_9,0.01042228232789614,4
AL_10,0.01035800237158208,4
AL_8,0.009330200018106936,4
AL_15,0.009299198652188107,4
AL_13,0.009290324118379769,4
AL_11,0.00910073649820728,4
AL_7,0.008774232472860721,4
AA_1_R,0.008127655400491382,4
AL_327,0.0074847685590562225,4
missingindicator_AL_26,0.007029109463357344,4
AL_186,0.0061975566920387404,4
AL_16,0.006098315519356061,4
missingindicator_AL_1,0.0059827380637424675,4
AL_20,0.005897222952999196,4
AL_22,0.005889239442240169,4
AL_23,0.005135010143117045,4
AL_136,0.004839288345220115,4
AL_19,0.004787839476508288,4
AL_287,0.00477835071578662,4
missingindicator_AL_7,0.004725512568544802,4
AL_296,0.004567789134516253,4
AL_298,0.004491598295789105,4
AL_91,0.00447687441299743,4
missingindicator_AL_334,0.004420322188233959,4
missingindicator_AL_10,0.004382309338149639,4
AL_17,0.0043681601027797294,4
AL_25,0.004336345797161733,4
AL_52,0.0043025338400307514,4
missingindicator_AL_19,0.004200754905996524,4
missingindicator_AL_298,0.00412021250126263,4
missingindicator_AL_16,0.004070560108596131,4
missingindicator_AL_18,0.004034747395329088,4
AL_311,0.00400888944225997,4
AL_18,0.003979988682433248,4
missingindicator_AL_24,0.003970696289993159,4
AL_73,0.003942779933723049,4
missingindicator_AL_13,0.0038745727772875726,4
AL_40,0.003872213370380901,4
missingindicator_AL_9,0.003862824393687159,4
missingindicator_AL_296,0.003852511513545031,4
missingindicator_AL_14,0.003849087852274803,4
AL_21,0.0038484219296123097,4
missingindicator_AL_17,0.0038076238700328565,4
missingindicator_AL_186,0.003714980423475519,4
missingindicator_EK_3,0.0036760573500059365,4
missingindicator_AL_11,0.003665019725052469,4
AL_24,0.00364545693625622,4
AL_319,0.0036369805649711425,4
missingindicator_AL_23,0.003630843897516319,4
missingindicator_AL_8,0.00344057475104505,4
AL_323,0.0033888667394978336,4
AL_315,0.003385676930433107,4
AL_64,0.003373023446266594,4
missingindicator_AL_3,0.0031728015398141823,4
missingindicator_AL_2,0.0031426966576814357,4
AA_2_A,0.0031361587954157172,4
missingindicator_AL_20,0.003117974905809965,4
missingindicator_AL_25,0.003112276929811862,4
missingindicator_AL_21,0.0031024644506862454,4
AL_124,0.0030860569000318513,4
missingindicator_AL_6,0.0030823927012901264,4
AL_166,0.0030440989109384127,4
AL_306,0.003035081732529318,4
AL_46,0.0030004923487050097,4
AL_172,0.002987856680081421,4
AL_331,0.002975854779264573,4
missingindicator_AL_15,0.0029418233320187767,4
