feature,mean_importance,models_used
GLOBAL_FOUNDATION_PROBA,0.10649886642186197,4
EK_7,0.02038693293013758,4
AL_7,0.014488877788478485,4
AL_300,0.013638504506090698,4
EK_9,0.013620029902112012,4
AL_306,0.012944243707718961,4
AL_12,0.0116481640954695,4
EK_5,0.010697160214838224,4
EK_1,0.010640687982560262,4
EK_2,0.010314175204302896,4
EK_6,0.010170229079990612,4
AL_186,0.010124336379379643,4
EK_3,0.008944675346794563,4
AL_171,0.008902040093798018,4
AL_298,0.008840060680608103,4
AL_22,0.008707069292144752,4
AL_49,0.008079399759466465,4
EK_8,0.007865975392833492,4
AL_302,0.00741286318472045,4
AL_329,0.007245518535776162,4
AL_333,0.007203811659873173,4
AL_323,0.006795407437036504,4
AL_11,0.006341317545400497,4
AL_334,0.006300045263361897,4
AL_301,0.00624751267604704,4
AL_26,0.006212855642095542,4
AL_331,0.006118386940205742,4
AL_43,0.006005007381521477,4
CAT_1___MISSING__,0.005812657730869825,4
AL_10,0.005807130691196392,4
AL_72,0.005753276142652303,4
AL_8,0.005723720633130477,4
AL_314,0.005651855337495435,4
AL_82,0.005600741764148061,4
AL_319,0.005542410681779509,4
AL_40,0.005269884018734138,4
AL_313,0.005193317636704121,4
AL_25,0.00506331148834736,4
AL_48,0.004956498781659319,4
AL_297,0.004738033450999518,4
AL_14,0.004729460506723333,4
AL_84,0.004644566287530297,4
missingindicator_AL_26,0.004520376723012471,4
AL_13,0.004519450665118765,4
AL_9,0.004511773022276653,4
AL_141,0.0044673999125370515,4
missingindicator_AL_8,0.004338522163817887,4
AL_126,0.00427799037465957,4
missingindicator_AL_13,0.004200255256829389,4
AL_326,0.004175109423558121,4
EK_4,0.00416890420691537,4
missingindicator_AL_309,0.004150425893993663,4
AL_277,0.00413963325465775,4
AL_24,0.004089313993382894,4
AL_315,0.0039833117943137665,4
missingindicator_AL_7,0.003972926984759493,4
missingindicator_AL_14,0.003930205458053953,4
AL_145,0.00390851983930141,4
AL_327,0.0038977588363857275,4
AL_317,0.003855304497397667,4
AL_96,0.0038174184017020036,4
AL_45,0.003684677552187593,4
missingindicator_AL_9,0.00368168786238542,4
missingindicator_AL_11,0.003660804660014244,4
missingindicator_AL_10,0.0036419095216375427,4
AL_296,0.003625114660265111,4
AL_178,0.00347800618933397,4
AL_138,0.0034723312061904973,4
AL_16,0.003471568605827158,4
AL_15,0.003461690709669677,4
AL_129,0.0034209296681234026,4
AL_330,0.00340666545574463,4
AL_318,0.0032869372904064265,4
AA_2___MISSING__,0.003286457786771206,4
missingindicator_AL_15,0.003285545430347918,4
AL_322,0.0032613351106685956,4
AA_1___MISSING__,0.0032588911160408495,4
AL_283,0.0032515382927668208,4
AL_311,0.003243328954271721,4
AL_123,0.003163409740587579,4
